full_address,n,newest_created,oldest_created,newest_close,row_n,cum_houses,cumsum_wo,cumpct_wo
1312  MYRTLE AVE,31,2019-06-06T15:22:00Z,2016-05-03T22:06:00Z,2019-06-12T00:00:00Z,1,7.7417356971433e-5,31,0.0010609534891680072
1415  DARLEY AVE,25,2019-04-30T15:30:00Z,2016-03-31T15:47:00Z,2019-05-06T00:00:00Z,3,2.32252070914299e-4,84,0.0028748417125842776
1722 N CAREY ST,21,2019-06-27T16:11:00Z,2016-02-05T08:38:00Z,2019-07-01T00:00:00Z,4,3.09669427885732e-4,105,0.0035935521407303465
1842  DIVISION ST,21,2019-06-06T15:45:00Z,2016-04-15T14:18:00Z,2019-06-19T00:00:00Z,5,3.8708678485716496e-4,126,0.004312262568876416
1057  CHURCH ST,20,2018-11-19T16:21:00Z,2017-09-13T22:00:00Z,2018-11-23T00:00:00Z,6,4.64504141828598e-4,146,0.004996748690920292
5317  NELSON AVE,20,2018-05-10T11:23:00Z,2017-02-12T22:00:00Z,2018-05-11T00:00:00Z,7,5.41921498800031e-4,166,0.005681234812964167
2213  HENNEMAN AVE,19,2019-02-14T14:54:00Z,2017-10-18T10:15:00Z,2019-02-15T00:00:00Z,8,6.19338855771464e-4,185,0.006331496628905849
1107 E FAYETTE ST,17,2017-12-29T16:18:00Z,2016-02-06T13:18:00Z,2018-01-03T00:00:00Z,9,6.96756212742897e-4,202,0.006913309832643143
200 N CENTRAL AVE,17,2019-03-15T16:39:00Z,2016-11-09T22:00:00Z,2019-03-19T00:00:00Z,10,7.741735697143299e-4,219,0.007495123036380437
321 S FULTON AVE,17,2019-05-16T18:23:00Z,2016-03-30T11:53:00Z,2019-05-30T00:00:00Z,11,8.515909266857629e-4,236,0.008076936240117731
2451  BRENTWOOD AVE,16,2019-05-08T13:16:00Z,2016-06-01T13:36:00Z,2019-07-05T00:00:00Z,12,9.29008283657196e-4,252,0.008624525137752833
3701 W FOREST PARK AVE,16,2019-06-12T22:00:00Z,2016-03-13T22:00:00Z,2019-06-24T00:00:00Z,13,0.001006425640628629,268,0.009172114035387932
5837  BELAIR ROAD,16,2019-05-03T15:26:00Z,2016-01-06T16:03:00Z,2019-05-09T00:00:00Z,14,0.001083842997600062,284,0.009719702933023032
1020 N MILTON AVE,15,2018-09-19T11:45:00Z,2016-04-04T14:20:00Z,2018-09-21T00:00:00Z,15,0.0011612603545714949,299,0.010233067524555939
1736 N FULTON AVE,15,2019-06-12T14:55:00Z,2016-01-19T14:37:00Z,2019-06-20T00:00:00Z,16,0.001238677711542928,314,0.010746432116088847
1804  MCHENRY ST,15,2019-06-25T10:26:00Z,2017-01-17T09:27:00Z,2019-07-09T00:00:00Z,17,0.0013160950685143608,329,0.011259796707621754
1517  LOCUST ST,14,2019-06-06T15:06:00Z,2016-03-02T16:23:00Z,2019-07-08T00:00:00Z,18,0.001393512425485794,343,0.011738936993052465
1521  HOMESTEAD ST,14,2019-06-11T10:00:00Z,2016-04-06T14:22:00Z,2019-06-24T00:00:00Z,19,0.001470929782457227,357,0.012218077278483178
1922  RAMSAY ST,14,2018-12-28T09:11:00Z,2016-03-07T15:37:00Z,2019-01-09T00:00:00Z,20,0.0015483471394286599,371,0.012697217563913892
1947  GRIFFIS AVE,14,2017-09-29T08:34:00Z,2016-02-25T22:00:00Z,2017-10-02T00:00:00Z,21,0.001625764496400093,385,0.013176357849344605
2149  EAGLE ST,14,2019-05-22T15:54:00Z,2016-03-22T14:54:00Z,2019-06-20T00:00:00Z,22,0.0017031818533715258,399,0.013655498134775318
330 S BENTALOU ST,14,2019-06-27T16:08:00Z,2016-04-28T10:34:00Z,2019-07-12T00:00:00Z,23,0.0017805992103429589,413,0.014134638420206031
1119 W LOMBARD ST,13,2018-08-23T14:46:00Z,2016-02-25T15:15:00Z,2018-08-25T00:00:00Z,24,0.001858016567314392,426,0.01457955439953455
1556  CARSWELL ST,13,2018-10-31T10:43:00Z,2016-03-24T14:09:00Z,2018-11-07T00:00:00Z,25,0.0019354339242858248,439,0.01502447037886307
2214  BRYANT AVE,13,2019-02-04T09:46:00Z,2016-02-25T08:54:00Z,2019-02-27T00:00:00Z,26,0.002012851281257258,452,0.015469386358191587
2410  WILKENS AVE,13,2017-09-20T11:47:00Z,2016-01-07T15:37:00Z,2017-09-22T00:00:00Z,27,0.002090268638228691,465,0.015914302337520107
403 S PARRISH ST,13,2019-07-01T15:41:00Z,2016-02-18T14:46:00Z,2019-07-13T00:00:00Z,28,0.002167685995200124,478,0.016359218316848625
5410  READY AVE,13,2018-11-08T14:30:00Z,2016-04-07T09:14:00Z,2018-11-19T00:00:00Z,29,0.0022451033521715567,491,0.016804134296177144
800 N CASTLE ST,13,2019-01-25T15:42:00Z,2017-06-12T15:19:00Z,2019-01-29T00:00:00Z,30,0.0023225207091429898,504,0.017249050275505665
1008 N PAYSON ST,12,2019-05-22T14:22:00Z,2017-07-08T11:53:00Z,2019-06-12T00:00:00Z,31,0.002399938066114423,516,0.01765974194873199
1216  WHITELOCK ST,12,2019-07-11T12:16:00Z,2016-07-03T22:00:00Z,NA,32,0.002477355423085856,528,0.018070433621958315
1237 N LUZERNE AVE,12,2018-12-20T15:59:00Z,2016-04-19T14:41:00Z,2018-12-24T00:00:00Z,33,0.002554772780057289,540,0.01848112529518464
1517  HAZEL ST,12,2019-01-04T15:53:00Z,2016-12-15T15:58:00Z,2019-01-17T00:00:00Z,34,0.0026321901370287217,552,0.018891816968410965
152  PALORMO AVE,12,2019-06-28T09:34:00Z,2016-03-18T08:14:00Z,2019-07-02T00:00:00Z,35,0.0027096074940001547,564,0.01930250864163729
1542  ARGYLE AVE,12,2018-11-14T12:15:00Z,2016-02-25T14:03:00Z,2018-11-15T00:00:00Z,36,0.002787024850971588,576,0.019713200314863615
21 S FRANKLINTOWN ROAD,12,2019-05-04T08:57:00Z,2017-11-16T12:01:00Z,2019-05-06T00:00:00Z,37,0.002864442207943021,588,0.02012389198808994
3216  MCELDERRY ST,12,2019-06-13T10:00:00Z,2018-01-11T22:00:00Z,2019-06-27T00:00:00Z,38,0.002941859564914454,600,0.020534583661316268
3253  WESTMONT AVE,12,2018-08-25T08:31:00Z,2016-10-26T16:09:00Z,2018-08-24T00:00:00Z,39,0.0030192769218858866,612,0.02094527533454259
342 S SMALLWOOD ST,12,2019-01-31T16:07:00Z,2016-07-05T14:30:00Z,2019-02-27T00:00:00Z,40,0.0030966942788573197,624,0.021355967007768917
343 S FULTON AVE,12,2019-07-10T16:12:00Z,2018-03-12T15:54:00Z,2019-07-13T00:00:00Z,41,0.003174111635828753,636,0.021766658680995244
346 S BENTALOU ST,12,2019-06-27T16:01:00Z,2016-09-20T11:42:00Z,2019-07-12T00:00:00Z,42,0.003251528992800186,648,0.022177350354221567
3604  9TH ST,12,2019-06-27T12:48:00Z,2017-03-03T14:42:00Z,NA,43,0.003328946349771619,660,0.022588042027447894
3717  BROOKLYN AVE,12,2019-03-28T14:30:00Z,2016-08-04T16:33:00Z,2019-04-10T00:00:00Z,44,0.0034063637067430516,672,0.02299873370067422
4105  MORRISON CT,12,2018-10-09T08:45:00Z,2017-04-08T22:00:00Z,2018-10-24T00:00:00Z,45,0.0034837810637144847,684,0.023409425373900544
436 S PARRISH ST,12,2019-05-03T16:24:00Z,2016-06-08T09:44:00Z,2019-05-30T00:00:00Z,46,0.0035611984206859178,696,0.02382011704712687
527 N EAST AVE,12,2018-03-03T22:09:00Z,2016-03-30T13:53:00Z,2018-03-07T00:00:00Z,47,0.003638615777657351,708,0.024230808720353193
1038  BRENTWOOD AVE,11,2018-11-13T12:15:00Z,2017-11-30T22:00:00Z,2018-11-19T00:00:00Z,48,0.003716033134628784,719,0.024607276087477325
1115  WINCHESTER ST,11,2019-05-14T15:11:00Z,2017-03-20T22:13:00Z,2019-05-20T00:00:00Z,49,0.0037934504916002166,730,0.024983743454601456
1324 N BENTALOU ST,11,2019-05-21T11:17:00Z,2017-07-20T22:00:00Z,2019-05-16T00:00:00Z,50,0.0038708678485716496,741,0.025360210821725588
152  WILLARD ST,11,2019-02-21T22:00:00Z,2016-09-13T15:42:00Z,2019-03-07T00:00:00Z,51,0.003948285205543083,752,0.02573667818884972
1530  BAKER ST,11,2019-07-12T12:49:00Z,2016-01-05T10:00:00Z,NA,52,0.004025702562514516,763,0.02611314555597385
1627  GORSUCH AVE,11,2019-04-04T15:15:00Z,2016-01-08T16:14:00Z,2019-04-08T00:00:00Z,53,0.004103119919485949,774,0.026489612923097983
1720 N CAREY ST,11,2019-04-04T15:02:00Z,2016-02-08T14:23:00Z,2019-04-04T00:00:00Z,54,0.004180537276457382,785,0.026866080290222114
2401  HEMLOCK AVE,11,2017-06-20T07:59:00Z,2016-10-09T22:00:00Z,2017-06-22T00:00:00Z,55,0.004257954633428815,796,0.027242547657346246
2402  VONDERHORST LANE,11,2018-12-06T15:50:00Z,2016-03-15T11:33:00Z,2018-12-11T00:00:00Z,56,0.004335371990400248,807,0.027619015024470377
2550  HOLLINS ST,11,2019-07-15T10:00:00Z,2017-04-20T13:39:00Z,NA,57,0.00441278934737168,818,0.02799548239159451
2853  BOOKERT DR,11,2019-06-20T11:53:00Z,2017-06-22T22:00:00Z,2019-06-19T00:00:00Z,58,0.004490206704343113,829,0.02837194975871864
301 S MOUNT ST,11,2019-03-04T15:01:00Z,2016-02-08T09:07:00Z,2019-03-26T00:00:00Z,59,0.0045676240613145465,840,0.028748417125842772
3016  EDMONDSON AVE,11,2019-05-28T18:13:00Z,2016-03-23T22:00:00Z,2019-06-06T00:00:00Z,60,0.0046450414182859796,851,0.029124884492966904
319 S MOUNT ST,11,2017-11-08T17:39:00Z,2016-01-19T14:47:00Z,2017-11-14T00:00:00Z,61,0.004722458775257413,862,0.029501351860091035
445  BRUNSWICK ST,11,2019-05-16T22:00:00Z,2016-02-11T22:00:00Z,2019-06-21T00:00:00Z,62,0.004799876132228846,873,0.029877819227215167
505 S PULASKI ST,11,2019-04-27T09:19:00Z,2016-06-21T15:07:00Z,2019-05-02T00:00:00Z,63,0.004877293489200279,884,0.0302542865943393
5219  LINDEN HEIGHTS AVE,11,2019-06-26T12:00:00Z,2016-03-24T08:32:00Z,2019-07-01T00:00:00Z,64,0.004954710846171712,895,0.03063075396146343
5306  MAPLE AVE,11,2018-10-09T16:10:00Z,2016-04-25T15:53:00Z,2018-10-19T00:00:00Z,65,0.005032128203143145,906,0.03100722132858756
701 N ROSE ST,11,2019-06-20T15:40:00Z,2017-11-27T16:33:00Z,2019-07-08T00:00:00Z,66,0.005109545560114578,917,0.031383688695711696
708 N BRADFORD ST,11,2018-09-12T12:00:00Z,2016-01-05T22:00:00Z,2018-09-14T00:00:00Z,67,0.00518696291708601,928,0.031760156062835825
816 N MILTON AVE,11,2019-06-25T12:15:00Z,2016-02-19T08:42:00Z,2019-06-27T00:00:00Z,68,0.005264380274057443,939,0.03213662342995996
1147 N CARROLLTON AVE,10,2018-10-15T12:49:00Z,2016-05-25T14:29:00Z,2018-10-16T00:00:00Z,69,0.005341797631028876,949,0.032478866490981896
1201  ENSOR ST,10,2019-04-25T13:05:00Z,2017-07-24T17:10:00Z,2019-04-29T00:00:00Z,70,0.0054192149880003095,959,0.03282110955200383
1210 W FRANKLIN ST,10,2019-06-13T14:34:00Z,2016-07-13T22:00:00Z,2019-06-20T00:00:00Z,71,0.005496632344971743,969,0.03316335261302577
1333 W PRATT ST,10,2019-05-23T08:03:00Z,2016-03-21T14:20:00Z,2019-06-18T00:00:00Z,72,0.005574049701943176,979,0.033505595674047706
1808 W LEXINGTON ST,10,2019-02-13T15:10:00Z,2016-02-01T22:00:00Z,2019-03-05T00:00:00Z,73,0.005651467058914609,989,0.03384783873506965
1836 N COLLINGTON AVE,10,2018-08-01T15:59:00Z,2016-04-08T13:49:00Z,2018-08-03T00:00:00Z,74,0.005728884415886042,999,0.034190081796091586
1913 N FULTON AVE,10,2019-07-05T16:26:00Z,2017-06-09T11:44:00Z,2019-07-11T00:00:00Z,75,0.005806301772857475,1009,0.03453232485711352
2114  DRUID HILL AVE,10,2019-06-20T10:39:00Z,2018-02-02T15:11:00Z,2019-06-19T00:00:00Z,76,0.005883719129828908,1019,0.03487456791813546
2135 N FULTON AVE,10,2019-06-10T15:32:00Z,2016-03-31T16:43:00Z,2019-06-21T00:00:00Z,77,0.005961136486800341,1029,0.035216810979157395
2216 E MADISON ST,10,2019-04-18T09:08:00Z,2016-12-06T14:34:00Z,2019-04-24T00:00:00Z,78,0.006038553843771773,1039,0.03555905404017934
2231  CHRISTIAN ST,10,2019-06-03T15:16:00Z,2016-08-11T14:55:00Z,2019-07-15T00:00:00Z,79,0.006115971200743206,1049,0.035901297101201275
2345  WASHINGTON BLVD,10,2017-01-05T13:54:00Z,2016-05-18T15:57:00Z,2017-01-17T00:00:00Z,80,0.006193388557714639,1059,0.03624354016222321
2456  GREENMOUNT AVE,10,2019-03-26T09:32:00Z,2017-11-20T22:00:00Z,2019-03-28T00:00:00Z,81,0.0062708059146860725,1069,0.03658578322324515
2469  BRENTWOOD AVE,10,2017-04-13T15:12:00Z,2016-01-08T10:20:00Z,2017-04-19T00:00:00Z,82,0.006348223271657506,1079,0.036928026284267085
2520 E OLIVER ST,10,2019-04-22T08:49:00Z,2016-04-15T12:24:00Z,2019-04-25T00:00:00Z,83,0.006425640628628939,1089,0.03727026934528902
2523 E HOFFMAN ST,10,2018-04-06T15:52:00Z,2016-03-24T14:11:00Z,2018-04-10T00:00:00Z,84,0.006503057985600372,1099,0.037612512406310965
2623  FREDERICK AVE,10,2018-04-06T12:15:00Z,2016-12-27T08:37:00Z,2018-04-10T00:00:00Z,85,0.006580475342571805,1109,0.0379547554673329
3000 W BALTIMORE ST,10,2019-04-24T15:00:00Z,2016-06-29T15:31:00Z,2019-05-31T00:00:00Z,86,0.006657892699543238,1119,0.03829699852835484
3019  HERBERT ST,10,2019-03-12T16:27:00Z,2016-02-12T14:35:00Z,2019-04-02T00:00:00Z,87,0.006735310056514671,1129,0.038639241589376774
325 N GAY ST,10,2019-06-06T09:02:00Z,2016-06-02T09:05:00Z,2019-06-21T00:00:00Z,88,0.006812727413486103,1139,0.03898148465039871
3331  MCELDERRY ST,10,2019-04-29T10:30:00Z,2016-08-14T18:22:00Z,2019-05-02T00:00:00Z,89,0.006890144770457536,1149,0.039323727711420654
338 S FULTON AVE,10,2019-07-08T08:53:00Z,2017-03-29T14:36:00Z,2019-07-09T00:00:00Z,90,0.006967562127428969,1159,0.03966597077244259
41 N MORLEY ST,10,2019-07-11T14:49:00Z,2016-08-23T10:15:00Z,NA,91,0.007044979484400402,1169,0.04000821383346453
4410  BELAIR ROAD,10,2017-04-18T08:11:00Z,2016-01-10T12:12:00Z,2017-04-21T00:00:00Z,92,0.0071223968413718355,1179,0.040350456894486464
507  GOLD ST,10,2017-12-14T08:28:00Z,2016-09-30T15:50:00Z,2018-01-09T00:00:00Z,93,0.007199814198343269,1189,0.0406926999555084
510 S MONROE ST,10,2018-11-13T15:25:00Z,2016-03-08T12:28:00Z,2018-11-27T00:00:00Z,94,0.007277231555314702,1199,0.04103494301653034
606 E PATAPSCO AVE,10,2019-06-11T11:56:00Z,2017-01-12T12:08:00Z,2019-07-08T00:00:00Z,95,0.007354648912286135,1209,0.04137718607755228
7  BRISTOL AVE,10,2019-07-08T16:03:00Z,2016-12-02T10:36:00Z,NA,96,0.007432066269257568,1219,0.04171942913857422
700 N LAKEWOOD AVE,10,2018-03-23T13:22:00Z,2016-07-19T22:00:00Z,2018-03-26T00:00:00Z,97,0.007509483626229001,1229,0.04206167219959615
719 E PATAPSCO AVE,10,2019-05-02T15:07:00Z,2016-04-28T22:00:00Z,2019-05-17T00:00:00Z,98,0.007586900983200433,1239,0.04240391526061809
719 N PATTERSON PARK AVE,10,2018-08-23T11:45:00Z,2016-09-14T15:17:00Z,2018-08-28T00:00:00Z,99,0.007664318340171866,1249,0.042746158321640026
809 N PORT ST,10,2019-04-10T11:00:00Z,2016-10-06T15:11:00Z,2019-04-11T00:00:00Z,100,0.007741735697143299,1259,0.04308840138266197
1022 N PAYSON ST,9,2018-02-21T18:26:00Z,2016-04-27T15:51:00Z,2018-02-22T00:00:00Z,101,0.007819153054114732,1268,0.04339642013758171
107 S DEAN ST,9,2019-07-08T13:58:00Z,2018-06-02T22:00:00Z,NA,102,0.007896570411086165,1277,0.04370443889250145
11 N HILTON ST,9,2018-07-26T09:17:00Z,2016-03-18T13:16:00Z,2018-08-09T00:00:00Z,103,0.007973987768057599,1286,0.0440124576474212
1115  RIGGS AVE,9,2019-06-26T13:18:00Z,2018-02-06T16:26:00Z,2019-06-28T00:00:00Z,104,0.008051405125029032,1295,0.04432047640234094
1116 N MONTFORD AVE,9,2018-11-01T12:00:00Z,2017-01-26T22:00:00Z,2018-11-07T00:00:00Z,105,0.008128822482000465,1304,0.04462849515726069
1141  SARGEANT ST,9,2019-06-26T15:37:00Z,2016-05-13T15:58:00Z,2019-07-15T00:00:00Z,106,0.008206239838971898,1313,0.04493651391218043
1143 N MILTON AVE,9,2019-04-29T12:15:00Z,2017-02-07T15:02:00Z,2019-05-02T00:00:00Z,107,0.00828365719594333,1322,0.04524453266710018
122 S MONROE ST,9,2019-05-16T17:44:00Z,2016-12-12T13:35:00Z,2019-06-10T00:00:00Z,108,0.008361074552914764,1331,0.045552551422019916
136  WILLARD ST,9,2019-05-23T08:47:00Z,2017-03-30T13:12:00Z,2019-05-24T00:00:00Z,109,0.008438491909886197,1340,0.04586057017693966
1420  MADISON AVE,9,2017-12-18T12:51:00Z,2016-02-09T14:06:00Z,2018-01-09T00:00:00Z,110,0.00851590926685763,1349,0.046168588931859406
1509  ELMTREE ST,9,2019-07-03T11:03:00Z,2017-07-22T22:00:00Z,NA,111,0.008593326623829063,1358,0.04647660768677915
1512 E BALTIMORE ST,9,2019-04-26T15:18:00Z,2017-01-26T12:49:00Z,2019-04-29T00:00:00Z,112,0.008670743980800496,1367,0.046784626441698896
1523  HAZEL ST,9,2019-07-11T14:37:00Z,2016-03-21T15:56:00Z,NA,113,0.00874816133777193,1376,0.04709264519661864
1714 N CAREY ST,9,2019-04-05T09:05:00Z,2016-05-24T14:17:00Z,2019-04-09T00:00:00Z,114,0.00882557869474336,1385,0.047400663951538385
1722 N DUKELAND ST,9,2019-05-22T15:14:00Z,2016-07-05T16:10:00Z,2019-06-14T00:00:00Z,115,0.008902996051714794,1394,0.04770868270645812
1844  DIVISION ST,9,2017-12-26T16:04:00Z,2016-04-15T14:08:00Z,2018-01-09T00:00:00Z,116,0.008980413408686227,1403,0.04801670146137787
1900  GRINNALDS AVE,9,2019-06-05T12:46:00Z,2017-10-16T22:00:00Z,2019-07-02T00:00:00Z,117,0.00905783076565766,1412,0.04832472021629761
1904  WILHELM ST,9,2019-05-15T08:39:00Z,2017-01-24T14:54:00Z,2019-06-08T00:00:00Z,118,0.009135248122629093,1421,0.04863273897121736
1917  WILKENS AVE,9,2019-07-11T14:10:00Z,2016-03-03T14:34:00Z,NA,119,0.009212665479600526,1430,0.0489407577261371
2 S MONROE ST,9,2019-04-10T13:25:00Z,2016-05-09T15:04:00Z,2019-04-11T00:00:00Z,120,0.009290082836571959,1439,0.04924877648105685
2004  BRYANT AVE,9,2018-03-07T11:48:00Z,2016-11-18T16:13:00Z,2018-03-10T00:00:00Z,121,0.009367500193543392,1448,0.04955679523597659
2004 E MADISON ST,9,2019-07-08T15:06:00Z,2018-03-07T14:51:00Z,NA,122,0.009444917550514825,1457,0.04986481399089633
2034  WILKENS AVE,9,2019-04-15T08:10:00Z,2016-04-05T16:09:00Z,2019-04-26T00:00:00Z,123,0.009522334907486258,1466,0.050172832745816076
2127  MCCULLOH ST,9,2019-02-15T14:49:00Z,2017-11-01T15:29:00Z,2019-02-21T00:00:00Z,124,0.009599752264457691,1475,0.05048085150073582
2221  BOOTH ST,9,2019-01-18T09:35:00Z,2016-04-27T22:00:00Z,2019-01-22T00:00:00Z,125,0.009677169621429125,1484,0.050788870255655566
2300 E CHASE ST,9,2018-07-18T13:30:00Z,2016-04-11T08:01:00Z,2018-07-19T00:00:00Z,126,0.009754586978400558,1493,0.05109688901057531
2437  WASHINGTON BLVD,9,2019-05-17T10:19:00Z,2016-02-08T10:19:00Z,2019-05-10T00:00:00Z,127,0.00983200433537199,1502,0.051404907765495056
2449  WASHINGTON BLVD,9,2019-07-11T08:37:00Z,2017-03-01T22:00:00Z,NA,128,0.009909421692343424,1511,0.0517129265204148
2461  BRENTWOOD AVE,9,2018-12-04T14:22:00Z,2016-09-01T22:00:00Z,2018-12-04T00:00:00Z,129,0.009986839049314857,1520,0.052020945275334546
2504  EMERSON ST,9,2019-01-07T13:30:00Z,2018-04-12T22:00:00Z,2019-01-08T00:00:00Z,130,0.01006425640628629,1529,0.052328964030254284
2521 E BIDDLE ST,9,2019-04-22T12:30:00Z,2018-09-29T22:00:00Z,2019-04-25T00:00:00Z,131,0.010141673763257723,1538,0.05263698278517403
2601  LIBERTY HEIGHTS AVE,9,2019-05-08T08:53:00Z,2016-10-05T10:19:00Z,2019-06-14T00:00:00Z,132,0.010219091120229156,1547,0.052945001540093774
2654  WILKENS AVE,9,2019-07-12T09:13:00Z,2016-05-26T15:22:00Z,NA,133,0.01029650847720059,1556,0.05325302029501352
2904 W LAFAYETTE AVE,9,2018-04-06T12:31:00Z,2016-07-10T11:46:00Z,2018-04-28T00:00:00Z,134,0.01037392583417202,1565,0.053561039049933264
2908  BAYONNE AVE,9,2019-06-03T15:45:00Z,2016-10-18T08:42:00Z,2019-06-18T00:00:00Z,135,0.010451343191143454,1574,0.05386905780485301
3209  LAKE AVE,9,2019-04-15T15:55:00Z,2016-01-19T15:41:00Z,2019-04-16T00:00:00Z,136,0.010528760548114887,1583,0.054177076559772754
328 S FULTON AVE,9,2019-06-24T15:28:00Z,2016-11-27T22:00:00Z,2019-07-09T00:00:00Z,137,0.01060617790508632,1592,0.05448509531469249
330 S FULTON AVE,9,2019-07-08T09:02:00Z,2017-03-29T09:50:00Z,2019-07-09T00:00:00Z,138,0.010683595262057753,1601,0.054793114069612237
349  FURROW ST,9,2019-07-03T17:20:00Z,2017-05-10T14:24:00Z,NA,139,0.010761012619029186,1610,0.05510113282453198
351  FURROW ST,9,2019-02-13T08:54:00Z,2016-09-12T08:44:00Z,2019-03-04T00:00:00Z,140,0.010838429976000619,1619,0.055409151579451726
3608  SAINT MARGARET ST,9,2019-06-25T15:38:00Z,2016-01-06T22:00:00Z,NA,141,0.010915847332972052,1628,0.05571717033437147
3700  SPRINGDALE AVE,9,2018-12-06T09:16:00Z,2017-06-09T11:15:00Z,2018-12-11T00:00:00Z,142,0.010993264689943485,1637,0.056025189089291216
401 N EDGEWOOD ST,9,2018-09-11T06:57:00Z,2016-03-14T14:40:00Z,2018-09-14T00:00:00Z,143,0.011070682046914918,1646,0.05633320784421096
4011  PENHURST AVE,9,2019-05-04T09:23:00Z,2018-02-06T22:00:00Z,2019-05-23T00:00:00Z,144,0.011148099403886351,1655,0.0566412265991307
405 S PARRISH ST,9,2019-04-01T11:15:00Z,2016-02-22T09:43:00Z,2019-04-16T00:00:00Z,145,0.011225516760857784,1664,0.056949245354050444
408 N CLINTON ST,9,2019-03-20T10:15:00Z,2017-07-05T22:00:00Z,2019-03-21T00:00:00Z,146,0.011302934117829217,1673,0.05725726410897019
4101  HARRIS AVE,9,2019-03-05T12:00:00Z,2016-01-25T22:00:00Z,2019-03-06T00:00:00Z,147,0.01138035147480065,1682,0.057565282863889934
430 E BIDDLE ST,9,2019-07-11T12:00:00Z,2016-01-12T15:52:00Z,NA,148,0.011457768831772084,1691,0.05787330161880968
5 S PAYSON ST,9,2019-04-11T15:57:00Z,2016-05-11T08:59:00Z,2019-04-13T00:00:00Z,149,0.011535186188743517,1700,0.058181320373729424
500  SANFORD PL,9,2018-10-02T15:30:00Z,2016-03-14T09:41:00Z,2018-10-06T00:00:00Z,150,0.01161260354571495,1709,0.05848933912864917
502 W LAFAYETTE AVE,9,2018-10-25T15:36:00Z,2016-06-13T22:00:00Z,2018-11-01T00:00:00Z,151,0.011690020902686383,1718,0.058797357883568914
506  BAKER ST,9,2018-12-24T13:44:00Z,2016-06-23T22:00:00Z,2019-01-03T00:00:00Z,152,0.011767438259657816,1727,0.05910537663848865
518 N EAST AVE,9,2019-05-17T10:30:00Z,2016-05-20T16:19:00Z,2019-05-22T00:00:00Z,153,0.011844855616629249,1736,0.0594133953934084
521 N BOULDIN ST,9,2019-05-02T10:00:00Z,2018-05-31T22:00:00Z,2019-05-07T00:00:00Z,154,0.011922272973600682,1745,0.05972141414832814
524 S BENTALOU ST,9,2019-07-03T13:15:00Z,2017-04-13T22:00:00Z,NA,155,0.011999690330572113,1754,0.06002943290324789
526 S BENTALOU ST,9,2019-07-03T13:30:00Z,2017-09-13T16:14:00Z,NA,156,0.012077107687543547,1763,0.06033745165816763
605 S PAYSON ST,9,2019-06-20T08:47:00Z,2016-12-07T10:15:00Z,2019-07-03T00:00:00Z,157,0.01215452504451498,1772,0.06064547041308738
801 E PRESTON ST,9,2019-05-02T11:00:00Z,2018-11-14T10:45:00Z,2019-05-07T00:00:00Z,158,0.012231942401486413,1781,0.06095348916800712
820 N PATTERSON PARK AVE,9,2019-07-06T22:09:00Z,2016-03-02T15:49:00Z,NA,159,0.012309359758457846,1790,0.06126150792292686
828  EDMONDSON AVE,9,2018-08-07T09:29:00Z,2016-07-28T15:52:00Z,2018-08-09T00:00:00Z,160,0.012386777115429279,1799,0.061569526677846605
927 E PRESTON ST,9,2019-04-15T11:30:00Z,2016-04-05T15:52:00Z,2019-04-16T00:00:00Z,161,0.012464194472400712,1808,0.06187754543276635
1000 E NORTH AVE,8,2019-06-07T08:52:00Z,2016-09-23T15:37:00Z,2019-06-21T00:00:00Z,162,0.012541611829372145,1816,0.0621513398815839
1036 N MILTON AVE,8,2018-08-20T12:45:00Z,2016-10-21T16:27:00Z,2018-08-21T00:00:00Z,163,0.012619029186343578,1824,0.06242513433040145
107 S FULTON AVE,8,2018-03-26T17:46:00Z,2016-01-12T14:55:00Z,2018-04-30T00:00:00Z,164,0.012696446543315011,1832,0.062698928779219
1100 N MILTON AVE,8,2017-10-20T14:15:00Z,2016-04-01T15:10:00Z,2017-10-24T00:00:00Z,165,0.012773863900286444,1840,0.06297272322803656
1104 N MILTON AVE,8,2018-03-02T15:22:00Z,2016-04-27T22:00:00Z,2018-03-06T00:00:00Z,166,0.012851281257257877,1848,0.0632465176768541
1104 W FAYETTE ST,8,2019-06-28T15:34:00Z,2016-07-15T12:51:00Z,2019-07-11T00:00:00Z,167,0.01292869861422931,1856,0.06352031212567165
1108 N CAREY ST,8,2019-05-21T15:28:00Z,2017-12-07T10:11:00Z,2019-05-28T00:00:00Z,168,0.013006115971200743,1864,0.0637941065744892
1113  WINCHESTER ST,8,2019-07-11T13:51:00Z,2016-07-18T13:36:00Z,NA,169,0.013083533328172177,1872,0.06406790102330676
114 N SMALLWOOD ST,8,2019-03-18T09:25:00Z,2016-08-03T14:21:00Z,2019-04-03T00:00:00Z,170,0.01316095068514361,1880,0.0643416954721243
114 S CALHOUN ST,8,2019-05-01T14:58:00Z,2016-04-27T08:45:00Z,2019-05-14T00:00:00Z,171,0.013238368042115043,1888,0.06461548992094185
116 N CARLTON ST,8,2018-11-23T13:44:00Z,2016-12-27T16:07:00Z,2018-11-30T00:00:00Z,172,0.013315785399086476,1896,0.06488928436975941
1207  STEELTON AVE,8,2018-10-10T13:31:00Z,2017-06-06T22:00:00Z,2018-10-12T00:00:00Z,173,0.013393202756057909,1904,0.06516307881857696
